項目名,形式,必須,選択肢,Slack表示,備考
Timestamp,自動,-,,-,フォーム送信時刻（自動）
■作業日,日付,必須,,📋,ヘッダーで表示
■天候,チェックボックス,任意,"晴れ,曇り,雨,その他",🌤️,
■事業名,チェックボックス,必須,"請負,委託,オガ森,補助事業,その他",📋,
■作業員,チェックボックス,必須,"新妻,上村,その他職員,高岡,前澤,齋藤,藤田,菅生,田谷,その他作業員,その他",👷,複数選択可
■作業人数,プルダウン,必須,"1,2,3,4,5,6,7,8,9,10",👥,
■傭船,チェックボックス,必須,"あり,なし,その他",🚤,
■作業場所（島）,プルダウン,必須,"父島,兄島,弟島,孫島",📍,
■作業場所（記番）,記述式,必須,,-,例：カ-12
■作業内容,記述式,必須,,📝,1行で簡潔に
■上陸箇所,記述式,任意,,🏝️,
■特記事項,段落,任意,,⚠️,
■希少種確認,チェックボックス,任意,"あり,なし,その他",🦎,
■ヒヤリハット,チェックボックス,任意,"あり,なし,その他",🚨,
■引継ぎ事項の有無,チェックボックス,任意,"あり,なし,その他",➡️,
■潮位,プルダウン,任意,"大潮,中潮,小潮,長潮,若潮",🌊,
■潮まわり,プルダウン,任意,"上潮,下潮",-,
■波向,プルダウン,任意,"北,北北東,北東,東北東,東,東南東,南東,南南東,南,南南西,南西,西南西,西,西北西,北西,北北西",🌊,
■波高,記述式,任意,,-,数値のみ（単位：m）
■風向,プルダウン,任意,"北,北北東,北東,東北東,東,東南東,南東,南南東,南,南南西,南西,西南西,西,西北西,北西,北北西",💨,
■風速,記述式,任意,,-,数値のみ（単位：m/s）
■写真URL,記述式,任意,,📷,Google Drive共有リンク
■引継ぎ事項の内容,段落,任意,,-,有無が「あり」の場合に表示
